state,value,total
Alabama,30,"4,833,732"
Alaska,6,"735,132"
Arizona,60,"6,626,624"
Arkansas,21,"2,959,373"
California,305,"38,332,521"
Colorado,58,"5,268,367"
Connecticut,29,"3,596,080"
District of Columbia,4,"646,449"
Delaware,7,"925,749"
Florida,131,"19,552,860"
Georgia,79,"9,992,167"
Hawaii,11,"1,404,054"
Idaho,11,"1,612,136"
Illinois,85,"12,882,135"
Indiana,43,"6,570,902"
Iowa,19,"3,090,416"
Kansas,16,"2,893,957"
Kentucky,24,"4,395,295"
Louisiana,31,"4,625,470"
Maine,11,"1,328,302"
Maryland,44,"5,928,814"
Massachusetts,52,"6,692,824"
Michigan,92,"9,895,622"
Minnesota,33,"5,420,380"
Mississippi,19,"2,991,207"
Missouri,45,"6,044,171"
Montana,8,"1,015,165"
Nebraska,12,"1,868,516"
Nevada,23,"2,790,136"
New Hampshire,12,"1,323,459"
New Jersey,50,"8,899,339"
New Mexico,21,"2,085,287"
New York,140,"19,651,127"
North Carolina,67,"9,848,060"
North Dakota,3,"723,393"
Ohio,85,"11,570,808"
Oklahoma,23,"3,850,568"
Oregon,36,"3,930,065"
Pennsylvania,81,"12,773,801"
Rhode Island,12,"1,051,511"
South Carolina,37,"4,774,839"
South Dakota,4,"844,877"
Tennessee,42,"6,495,978"
Texas,179,"26,448,193"
Utah,20,"2,900,872"
Vermont,6,"626,630"
Virginia,48,"8,260,405"
Washington,61,"6,971,406"
West Virginia,9,"1,854,304"
Wisconsin,42,"5,742,713"
Wyoming,3,"582,658"
